model_name,unit_no,game,medals,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
主役は銭形4,288,2807,3229,0,7,17,1/117.0,1/0.0,1/401.0,1/165.1
回胴黙示録カイジ 狂宴,232,5025,-2051,28,13,0,1/122.6,1/179.5,1/386.5,1/0.0
回胴黙示録カイジ 狂宴,233,2744,149,18,6,0,1/114.3,1/152.4,1/457.3,1/0.0
回胴黙示録カイジ 狂宴,235,4395,-2694,15,7,0,1/199.8,1/293.0,1/627.9,1/0.0
戦姫絶唱シンフォギア 正義の歌,181,694,-750,0,2,3,1/138.8,1/0.0,1/347.0,1/231.3
戦姫絶唱シンフォギア 正義の歌,182,1933,-1119,0,6,14,1/96.7,1/0.0,1/322.2,1/138.1
戦姫絶唱シンフォギア 正義の歌,183,2001,-100,0,4,20,1/83.4,1/0.0,1/500.2,1/100.0
聖闘士星矢 海皇覚醒 CUSTOM EDITION,282,3348,-3889,0,1,9,1/334.8,1/0.0,1/3348.0,1/372.0
聖闘士星矢 海皇覚醒 CUSTOM EDITION,283,1379,-250,0,2,11,1/106.1,1/0.0,1/689.5,1/125.4
聖闘士星矢 海皇覚醒 CUSTOM EDITION,285,3012,-3086,0,1,10,1/273.8,1/0.0,1/3012.0,1/301.2
転生したらスライムだった件,327,1298,-1120,0,2,4,1/216.3,1/0.0,1/649.0,1/324.5
転生したらスライムだった件,328,262,217,0,1,3,1/65.5,1/0.0,1/262.0,1/87.3
転生したらスライムだった件,330,2534,-2325,0,4,6,1/253.4,1/0.0,1/633.5,1/422.3
L南国育ち,137,1033,-1071,2,1,0,1/344.3,1/516.5,1/1033.0,1/0.0
L南国育ち,138,708,1409,10,2,0,1/59.0,1/70.8,1/354.0,1/0.0
Re:ゼロから始める異世界生活 season2,152,1170,-134,13,0,0,1/90.0,1/90.0,1/0.0,1/0.0
Re:ゼロから始める異世界生活 season2,153,29,-47,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴッドイーター リザレクション,273,6149,-1767,0,7,31,1/161.8,1/0.0,1/878.4,1/198.4
ゴッドイーター リザレクション,275,7190,5411,0,11,77,1/81.7,1/0.0,1/653.6,1/93.4
ゴブリンスレイヤー,150,2161,-637,0,0,6,1/360.2,1/0.0,1/0.0,1/360.2
ゴブリンスレイヤー,151,1728,-1359,0,0,3,1/576.0,1/0.0,1/0.0,1/576.0
ジャグラーガールズ,116,2707,-694,9,3,0,1/225.6,1/300.8,1/902.3,1/0.0
ジャグラーガールズ,117,4436,318,18,13,0,1/143.1,1/246.4,1/341.2,1/0.0
バンドリ！,265,351,-209,0,1,2,1/117.0,1/0.0,1/351.0,1/175.5
バンドリ！,266,856,-1054,0,2,2,1/214.0,1/0.0,1/428.0,1/428.0
ファンキージャグラー2,118,3595,-1037,10,10,0,1/179.8,1/359.5,1/359.5,1/0.0
ファンキージャグラー2,120,1248,-724,2,3,0,1/249.6,1/624.0,1/416.0,1/0.0
ルパン三世 大航海者の秘宝,267,4178,5783,0,5,30,1/119.4,1/0.0,1/835.6,1/139.3
ルパン三世 大航海者の秘宝,268,3153,3019,0,5,26,1/101.7,1/0.0,1/630.6,1/121.3
七つの魔剣が支配する,276,4622,-1208,0,13,37,1/92.4,1/0.0,1/355.5,1/124.9
七つの魔剣が支配する,277,3099,-1503,0,9,21,1/103.3,1/0.0,1/344.3,1/147.6
ディスクアップ2,111,1255,-500,4,1,0,1/251.0,1/313.8,1/1255.0,1/0.0
ハイパーラッシュ,112,1846,834,8,4,0,1/153.8,1/230.8,1/461.5,1/0.0
バーサスリヴァイズ,113,4251,215,17,10,0,1/157.4,1/250.1,1/425.1,1/0.0
新ハナビ,115,1395,-186,6,1,0,1/199.3,1/232.5,1/1395.0,1/0.0
東京喰種,188,10126,12311,0,22,75,1/104.4,1/0.0,1/460.3,1/135.0
にゃんこ大戦争 超神速,200,91,-141,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ToLOVEるダークネス,201,4817,-4018,21,0,11,1/150.5,1/229.4,1/0.0,1/437.9
HEY！エリートサラリーマン鏡,202,27,-35,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ラブ嬢3～Wご指名はいかがですか?～,203,1178,-1203,0,3,3,1/196.3,1/0.0,1/392.7,1/392.7
ゾンビランドサガ,205,3627,1440,44,0,7,1/71.1,1/82.4,1/0.0,1/518.1
バイオハザード5,206,7091,-2331,0,19,30,1/144.7,1/0.0,1/373.2,1/236.4
今日から俺は!! パチスロ編,207,2754,-1395,4,7,0,1/250.4,1/688.5,1/393.4,1/0.0
聖戦士ダンバイン,208,738,-236,0,1,12,1/56.8,1/0.0,1/738.0,1/61.5
真・一騎当千,210,3395,193,0,4,21,1/135.8,1/0.0,1/848.8,1/161.7
ゴールデンカムイ,211,1587,116,0,5,10,1/105.8,1/0.0,1/317.4,1/158.7
閃乱カグラ2 SHINOVI MASTER,212,1105,-1078,0,8,3,1/100.5,1/0.0,1/138.1,1/368.3
マジカルハロウィン8,213,756,79,4,0,11,1/50.4,1/189.0,1/0.0,1/68.7
頭文字D 2nd,215,38,-64,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
L サラリーマン金太郎,216,7522,2578,0,5,41,1/163.5,1/0.0,1/1504.4,1/183.5
バキ 強くなりたくば喰らえ!!!,217,3091,4496,0,5,56,1/50.7,1/0.0,1/618.2,1/55.2
とある魔術の禁書目録,218,1844,-1771,0,7,3,1/184.4,1/0.0,1/263.4,1/614.7
コードギアス 反逆のルルーシュ/復活のルルーシュ,220,2606,-642,0,3,22,1/104.2,1/0.0,1/868.7,1/118.5
