model_name,unit_no,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-22,2025-03-23,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
マイジャグラーV,1042,252.7,326.8,646.7,543.0,318.2,430.8,766.5,303.1,422.8,806.7,442.0,372.6,505.0,230.4,363.0,362.2,230.4,681.7,389.0,427.8,273.9,346.5,353.2,342.9,394.9,301.1,394.5,244.4,323.0,658.5,444.3
マイジャグラーV,1043,347.0,1720.0,314.7,303.2,429.1,290.1,inf,375.2,319.1,409.7,268.0,1502.0,321.8,462.0,263.4,496.3,462.0,335.4,310.4,428.6,895.0,280.2,446.0,304.4,340.2,329.4,1110.0,374.1,430.4,528.0,268.0
マイジャグラーV,1044,450.2,269.2,344.6,385.7,306.7,1208.0,494.0,292.7,224.3,454.4,inf,479.5,324.9,264.2,359.7,301.1,264.2,1444.0,336.0,407.5,256.2,335.2,1712.0,722.5,636.0,302.8,335.3,799.5,339.7,486.6,336.7
マイジャグラーV,1045,718.0,296.6,273.2,246.8,448.6,295.5,448.8,493.8,427.5,502.5,324.8,418.0,625.5,391.3,224.4,507.5,391.3,222.2,428.3,906.0,339.1,799.8,891.0,721.5,296.3,281.2,298.9,450.4,332.9,379.2,433.8
マイジャグラーV,1046,237.0,474.7,274.8,262.7,370.0,229.1,341.0,547.3,330.4,546.0,580.5,369.0,337.8,413.7,273.1,288.1,413.7,302.3,366.7,263.3,328.4,243.5,385.0,502.7,495.8,364.5,754.5,643.0,516.4,471.2,241.6
マイジャグラーV,1047,238.5,895.0,335.6,516.8,408.5,261.1,416.2,515.2,266.4,328.9,334.5,329.0,1098.5,217.5,274.7,354.6,217.5,309.3,230.2,334.9,289.8,312.9,347.0,360.0,288.8,486.6,317.4,188.6,308.9,298.8,1273.0
マイジャグラーV,1048,inf,588.0,297.6,259.6,405.8,706.7,303.5,214.8,1108.5,742.0,296.3,325.8,666.8,360.9,232.2,488.8,360.9,403.8,350.1,262.8,200.2,310.3,inf,1377.0,413.8,308.5,545.0,431.4,380.6,242.7,453.6
マイジャグラーV,1049,664.8,303.9,273.5,476.6,681.2,264.6,604.0,381.8,437.6,280.0,318.5,253.3,447.3,540.8,367.8,732.3,540.8,400.0,322.1,269.4,inf,366.3,481.0,255.8,380.3,303.4,420.5,787.7,523.9,363.0,inf
マイジャグラーV,1050,393.1,207.2,307.9,642.0,401.0,374.9,239.9,257.3,351.8,433.0,1555.0,300.6,371.6,434.6,541.2,365.1,434.6,538.6,421.2,509.0,366.6,276.0,327.2,543.9,361.1,312.9,370.6,342.7,256.9,441.7,684.0
マイジャグラーV,1069,454.0,350.2,372.5,316.5,359.9,264.9,532.5,427.0,420.0,1167.5,683.6,365.8,510.2,585.7,256.3,279.9,585.7,545.1,308.3,655.0,459.5,290.9,330.1,1834.0,1334.7,591.7,470.6,525.2,253.7,588.5,559.1
マイジャグラーV,1070,845.5,329.7,512.7,333.7,326.0,501.0,377.6,380.1,440.1,518.0,957.0,376.4,400.1,408.4,478.0,284.4,408.4,1189.0,439.1,491.6,481.4,357.5,343.4,635.0,389.8,335.4,328.6,303.4,532.9,306.2,446.2
