model_name,unit_no,2024-05-05,2024-05-04,2024-05-03,2024-05-02,2024-05-01,2024-04-30,2024-04-29,2024-04-28,2024-04-27,2024-04-26,2024-04-25
マイジャグラーV,1035,122.1,204.5,152.6,128.5,149.2,151.5,128.5,115.9,126.4,142.2,134.3
マイジャグラーV,1036,93.7,132.3,157.3,137.9,125.7,217.6,108.1,97.6,144.2,155.5,172.2
マイジャグラーV,1037,239.8,113.9,156.0,205.2,89.2,134.2,242.9,107.6,115.9,171.9,97.2
マイジャグラーV,1038,118.8,144.9,328.3,111.5,93.8,164.5,111.8,230.9,144.5,112.8,114.4
マイジャグラーV,1039,126.4,169.9,110.1,136.0,173.0,159.2,93.3,139.8,182.2,98.4,151.3
マイジャグラーV,1040,121.6,176.9,157.8,157.0,184.6,123.4,116.6,203.4,164.5,138.1,112.9
マイジャグラーV,1041,142.8,181.5,170.0,128.0,178.8,220.2,139.3,131.3,146.9,115.5,131.8
マイジャグラーV,1042,186.7,158.7,126.7,143.9,172.9,178.5,129.6,133.7,124.4,127.3,165.2
マイジャグラーV,1043,196.0,159.9,137.5,170.4,147.7,121.7,110.2,144.0,133.8,164.1,140.4
マイジャグラーV,1044,139.2,226.9,114.6,152.2,128.3,109.6,177.6,164.1,108.8,137.4,159.2
マイジャグラーV,1045,111.9,112.4,259.8,166.0,153.7,107.2,102.7,157.0,257.2,103.2,123.3
マイジャグラーV,1046,140.2,154.4,149.7,149.6,179.6,147.3,158.5,136.0,147.5,98.5,142.7
マイジャグラーV,1047,123.8,110.5,99.6,218.9,150.3,259.4,139.5,117.8,178.5,178.3,138.7
マイジャグラーV,1048,107.1,140.1,184.4,139.7,149.6,129.7,129.7,174.1,158.1,129.5,140.8
マイジャグラーV,1049,140.1,160.0,147.9,207.9,135.1,180.2,138.2,133.7,132.3,169.3,131.7
マイジャグラーV,1050,187.5,129.0,144.9,136.5,179.5,168.4,138.7,144.6,145.9,146.2,173.7
マイジャグラーV,1069,151.1,125.4,140.4,155.1,210.5,154.8,141.7,160.0,170.4,113.4,115.7
マイジャグラーV,1070,151.7,177.9,187.7,164.5,113.7,121.4,142.6,133.7,182.4,138.7,159.2
マイジャグラーV,1071,163.2,137.2,117.9,182.2,215.5,166.6,129.7,121.0,209.6,156.4,119.2
マイジャグラーV,1072,125.1,222.9,139.6,193.1,120.9,115.6,160.8,124.5,109.0,222.8,143.7
マイジャグラーV,1073,176.2,167.3,156.9,167.8,132.2,190.7,111.2,196.9,158.7,118.0,102.6
マイジャグラーV,1074,188.1,182.9,128.1,115.0,204.5,171.1,142.4,115.2,256.3,115.2,127.9
マイジャグラーV,1075,133.3,110.9,184.3,137.6,208.6,168.5,108.1,165.3,153.1,179.1,136.3
マイジャグラーV,1076,113.0,216.6,160.7,144.9,115.6,147.3,187.0,173.0,124.4,128.1,188.5
マイジャグラーV,1077,129.0,146.6,207.2,145.7,188.3,114.2,160.7,146.8,190.5,127.0,134.9
マイジャグラーV,1078,131.8,195.3,158.9,140.1,190.8,180.9,150.1,129.3,115.7,101.0,207.4
