,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
i: ゴーゴージャグラー3,837,16127,-1242,0.974,316.2,149.3,4326.0,-413.0,0.968,270.4,139.5,193.0,61.0,1.105,,193.0,5274.0,-81.0,0.995,239.7,128.6,3021.0,-297.0,0.967,335.7,159.0,1087.0,-378.0,0.884,,271.8,2226.0,-134.0,0.98,556.5,185.5
i: ゴーゴージャグラー3,838,5987,-1755,0.902,544.3,206.4,1856.0,64.0,1.011,309.3,142.8,233.0,-145.0,0.793,233.0,233.0,180.0,-203.0,0.624,,,893.0,-901.0,0.664,,893.0,2451.0,-320.0,0.956,612.8,188.5,374.0,-250.0,0.777,,374.0
i: ゴーゴージャグラー3,839,12202,-1297,0.965,277.3,145.3,5537.0,663.0,1.04,197.8,115.4,2266.0,1453.0,1.214,283.2,98.5,188.0,-297.0,0.473,,,1475.0,-1360.0,0.693,491.7,368.8,849.0,-773.0,0.697,849.0,424.5,1887.0,-983.0,0.826,471.8,269.6
i: ゴーゴージャグラー3,840,9848,-1436,0.951,469.0,179.1,1073.0,145.0,1.045,268.2,119.2,400.0,-471.0,0.608,,,3250.0,250.0,1.026,270.8,130.0,1330.0,-1407.0,0.647,,1330.0,1787.0,-145.0,0.973,1787.0,223.4,2008.0,192.0,1.032,502.0,167.3
i: ゴーゴージャグラー3,841,11232,344,1.01,351.0,142.2,6800.0,1233.0,1.06,261.5,119.3,449.0,-203.0,0.849,449.0,224.5,469.0,-76.0,0.946,469.0,156.3,433.0,-645.0,0.503,,,977.0,622.0,1.212,977.0,122.1,2104.0,-587.0,0.907,701.3,233.8
i: ゴーゴージャグラー3,842,14650,1378,1.031,266.4,129.6,2481.0,285.0,1.038,248.1,124.0,125.0,-192.0,0.488,,,261.0,-378.0,0.517,,,6957.0,3000.0,1.144,231.9,105.4,4144.0,-831.0,0.933,318.8,172.7,682.0,-506.0,0.753,341.0,227.3
i: ゴーゴージャグラー3,843,9240,-2331,0.916,369.6,171.1,4367.0,52.0,1.004,363.9,145.6,291.0,-390.0,0.553,,,300.0,-308.0,0.658,,,2034.0,-203.0,0.967,290.6,135.6,441.0,-215.0,0.837,441.0,220.5,1807.0,-1267.0,0.766,361.4,258.1
i: ゴーゴージャグラー3,844,13524,-732,0.982,422.6,161.0,6179.0,1407.0,1.076,309.0,123.6,686.0,-250.0,0.879,171.5,137.2,320.0,-401.0,0.582,320.0,320.0,1238.0,506.0,1.136,,137.6,2488.0,-820.0,0.89,622.0,226.2,2613.0,-1174.0,0.85,871.0,326.6
i: ゴーゴージャグラー3,845,14012,-557,0.987,368.7,149.1,2774.0,-424.0,0.949,554.8,184.9,184.0,-215.0,0.611,,,2891.0,919.0,1.106,481.8,131.4,6028.0,-128.0,0.993,274.0,131.0,609.0,-622.0,0.66,304.5,304.5,1526.0,-87.0,0.981,508.7,169.6
i: ゴーゴージャグラー3,846,11726,-2808,0.92,509.8,202.2,2697.0,-855.0,0.894,269.7,168.6,243.0,-285.0,0.609,,,215.0,-227.0,0.648,,,2558.0,-122.0,0.984,639.5,182.7,5364.0,-1267.0,0.921,670.5,223.5,649.0,-52.0,0.973,649.0,162.2
i: ゴーゴージャグラー3,847,17379,283,1.005,354.7,146.0,2328.0,238.0,1.034,291.0,129.3,1031.0,-413.0,0.866,343.7,171.8,2166.0,-76.0,0.988,270.8,135.4,3087.0,-297.0,0.968,441.0,171.5,3255.0,203.0,1.021,542.5,148.0,5512.0,628.0,1.038,324.2,141.3
i: ゴーゴージャグラー3,848,17048,646,1.013,304.4,136.4,6492.0,541.0,1.028,240.4,127.3,153.0,-238.0,0.481,,,4302.0,802.0,1.062,307.3,122.9,3230.0,-52.0,0.995,358.9,146.8,2056.0,-320.0,0.948,411.2,171.3,815.0,-87.0,0.964,815.0,163.0
total,,1219921,-39707,0.989,383.4,155.9,348594.0,-6189.0,0.994,356.4,150.8,113693.0,-12083.0,0.965,418.0,166.7,151164.0,-1228.0,0.997,376.0,152.2,331450.0,9594.0,1.01,367.9,148.2,163352.0,-18418.0,0.962,434.4,170.0,111668.0,-11383.0,0.966,441.4,173.9
