,,7RANK,5RANK,3RANK,1RANK,7ROLLING,5ROLLING,3ROLLING,MEDALS,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE
date,,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00
model_name,unit_no,,,,,,,,,,,,,
ミスタージャグラー,1108,1,1,1,2,-4587.0,-3617.0,-3599.0,-1041,0.89,3151,393.9,185.4,0.0
ミスタージャグラー,1109,3,3,4,4,-2002.0,-1470.0,-776.0,-479,0.9,1604,401.0,178.2,0.0
ミスタージャグラー,1110,2,2,2,1,-4150.0,-2935.0,-1659.0,-1053,0.94,5849,254.3,153.9,0.0
ミスタージャグラー,1111,7,7,7,6,4788.0,2941.0,3594.0,1500,1.075,6657,201.7,112.8,0.0
ミスタージャグラー,1112,4,4,3,3,142.0,-585.0,-1168.0,-774,0.869,1968,328.0,196.8,0.0
ミスタージャグラー,1113,6,5,5,7,4580.0,221.0,1495.0,1524,1.089,5718,285.9,121.7,0.0
 , ,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,
ウルトラミラクルジャグラー,1115,4,4,4,7,-1824.0,-212.0,359.0,665,1.038,5764,339.1,134.0,0.0
ウルトラミラクルジャグラー,1116,3,3,3,2,-1856.0,-897.0,185.0,-738,0.899,2443,488.6,222.1,0.0
ウルトラミラクルジャグラー,1117,1,1,1,1,-3773.0,-2346.0,-1929.0,-1241,0.809,2163,540.8,270.4,0.0
ウルトラミラクルジャグラー,1118,7,6,5,3,1059.0,1326.0,888.0,-450,0.903,1549,1549.0,258.2,0.0
ウルトラミラクルジャグラー,1119,6,7,7,6,295.0,1968.0,1997.0,332,1.029,3833,348.5,142.0,0.0
ウルトラミラクルジャグラー,1120,2,2,2,4,-3336.0,-1421.0,-898.0,-262,0.903,901,450.5,180.2,0.0
ウルトラミラクルジャグラー,1121,8,8,7,8,5220.0,4106.0,1997.0,2074,1.126,5504,423.4,125.1,0.0
ウルトラミラクルジャグラー,1122,5,5,6,5,-888.0,465.0,1041.0,-97,0.985,2114,422.8,162.6,0.0
 , ,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,
ハッピージャグラーVIII,1137,3,4,6,7,-599.0,-1120.0,59.0,665,1.037,6021,316.9,136.8,0.0
ハッピージャグラーVIII,1138,7,7,7,6,3941.0,1899.0,64.0,-509,0.935,2608,434.7,186.3,0.0
ハッピージャグラーVIII,1139,2,2,5,1,-1312.0,-1691.0,-1056.0,-1406,0.817,2567,641.8,285.2,0.0
ハッピージャグラーVIII,1140,6,1,1,2,1565.0,-2212.0,-2135.0,-982,0.93,4664,291.5,160.8,0.0
ハッピージャグラーVIII,1141,5,5,4,3,1416.0,-464.0,-1105.0,-700,0.919,2889,361.1,160.5,0.0
ハッピージャグラーVIII,1142,4,6,3,5,447.0,262.0,-1138.0,-538,0.941,3031,606.2,202.1,0.0
ハッピージャグラーVIII,1143,1,3,2,4,-2118.0,-1209.0,-2003.0,-638,0.954,4649,309.9,160.3,0.0
 , ,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,
ジャグラーガールズ,1145,1,2,5,2,-1747.0,-418.0,-412.0,-438,0.961,3778,314.8,157.4,0.0
ジャグラーガールズ,1146,4,1,1,3,-71.0,-1332.0,-1056.0,-244,0.972,2917,364.6,153.5,0.0
ジャグラーガールズ,1147,5,5,4,1,674.0,280.0,-717.0,-838,0.856,1940,388.0,194.0,0.0
ジャグラーガールズ,1148,6,4,3,5,1568.0,-156.0,-738.0,244,1.033,2450,490.0,153.1,0.0
ジャグラーガールズ,1149,2,3,2,4,-1077.0,-303.0,-909.0,-138,0.993,6490,405.6,158.3,0.0
ジャグラーガールズ,1150,3,6,6,6,-171.0,323.0,1435.0,441,1.027,5360,412.3,148.9,0.0
 , ,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,
