,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00
area,unit_no,,,,,,,,,,,,,,,
m: マイジャグラーV,1094,4432,-1329,0.9,738.7,221.6,3326,-726,0.927,831.5,207.9,1106,-603,0.818,553.0,276.5
m: マイジャグラーV,1095,11425,-1485,0.957,368.5,173.1,5897,-982,0.944,368.6,178.7,5528,-503,0.97,368.5,167.5
m: マイジャグラーV,1096,9533,344,1.012,381.3,146.7,4119,-238,0.981,374.5,152.6,5414,582,1.036,386.7,142.5
m: マイジャグラーV,1097,8066,1476,1.061,384.1,139.1,4562,-615,0.955,414.7,175.5,3504,2091,1.199,350.4,109.5
m: マイジャグラーV,1098,3855,-512,0.956,642.5,183.6,3143,144,1.015,523.8,157.2,712,-656,0.693,,712.0
m: マイジャグラーV,1099,8175,-683,0.972,908.3,190.1,3771,-809,0.928,754.2,209.5,4404,126,1.01,1101.0,176.2
n: アイムジャグラーEX-TP,1100,5905,-314,0.982,492.1,168.7,5541,-88,0.995,461.8,163.0,364,-226,0.793,,364.0
n: アイムジャグラーEX-TP,1101,12181,258,1.007,380.7,150.4,4487,1382,1.103,448.7,136.0,7694,-1124,0.951,349.7,160.3
n: アイムジャグラーEX-TP,1102,6951,962,1.046,496.5,144.8,3339,297,1.03,667.8,167.0,3612,665,1.061,401.3,129.0
n: アイムジャグラーEX-TP,1103,5919,-424,0.976,394.6,160.0,3693,-156,0.986,410.3,160.6,2226,-268,0.96,371.0,159.0
n: アイムジャグラーEX-TP,1104,3065,-888,0.903,383.1,180.3,1711,-626,0.878,342.2,190.1,1354,-262,0.935,451.3,169.2
n: アイムジャグラーEX-TP,1105,8838,-1373,0.948,353.5,170.0,5577,-344,0.979,309.8,154.9,3261,-1029,0.895,465.9,203.8
n: アイムジャグラーEX-TP,1106,2903,-1420,0.837,725.8,263.9,1453,-1029,0.764,,484.3,1450,-391,0.91,362.5,181.2
o: ミスタージャグラー,1107,3325,-717,0.928,554.2,207.8,2342,-632,0.91,468.4,212.9,983,-85,0.971,983.0,196.6
o: ミスタージャグラー,1108,5973,-618,0.966,497.8,170.7,2431,26,1.004,2431.0,202.6,3542,-644,0.939,322.0,154.0
o: ミスタージャグラー,1109,9257,-1173,0.958,298.6,154.3,5041,56,1.004,336.1,144.0,4216,-1229,0.903,263.5,168.6
o: ミスタージャグラー,1110,8880,-1532,0.942,355.2,167.5,7325,-1241,0.944,385.5,174.4,1555,-291,0.938,259.2,141.4
o: ミスタージャグラー,1111,7019,-1212,0.942,319.0,152.6,935,-468,0.833,467.5,233.8,6084,-744,0.959,304.2,144.9
o: ミスタージャグラー,1112,5588,277,1.017,558.8,155.2,1887,509,1.09,943.5,145.2,3701,-232,0.979,462.6,160.9
o: ミスタージャグラー,1113,6701,812,1.04,291.3,134.0,5382,1262,1.078,299.0,128.1,1319,-450,0.886,263.8,164.9
p: ウルトラミラクルジャグラー,1115,7313,-1779,0.919,430.2,178.4,4820,-1347,0.907,438.2,185.4,2493,-432,0.942,415.5,166.2
p: ウルトラミラクルジャグラー,1116,2966,-1494,0.832,329.6,211.9,1715,-791,0.846,571.7,245.0,1251,-703,0.813,208.5,178.7
p: ウルトラミラクルジャグラー,1117,7319,1233,1.056,332.7,133.1,3738,168,1.015,311.5,138.4,3581,1065,1.099,358.1,127.9
p: ウルトラミラクルジャグラー,1118,6864,-3,1.0,528.0,163.4,3160,-135,0.986,632.0,166.3,3704,132,1.012,463.0,161.0
p: ウルトラミラクルジャグラー,1119,2620,-353,0.955,655.0,187.1,747,-544,0.757,747.0,373.5,1873,191,1.034,624.3,156.1
p: ウルトラミラクルジャグラー,1120,5107,144,1.009,464.3,154.8,4105,818,1.066,456.1,141.6,1002,-674,0.776,501.0,250.5
p: ウルトラミラクルジャグラー,1121,4357,-1076,0.918,484.1,189.4,2796,-438,0.948,466.0,164.5,1561,-638,0.864,520.3,260.2
p: ウルトラミラクルジャグラー,1122,7947,-150,0.994,418.3,162.2,6639,229,1.011,390.5,154.4,1308,-379,0.903,654.0,218.0
q: アイムジャグラーEX-TP,1123,5142,-1177,0.924,571.3,190.4,2724,-1524,0.814,681.0,272.4,2418,347,1.048,483.6,142.2
q: アイムジャグラーEX-TP,1124,6475,-844,0.957,308.3,157.9,2668,-1335,0.833,333.5,222.3,3807,491,1.043,292.8,131.3
q: アイムジャグラーEX-TP,1125,9810,82,1.003,288.5,138.2,4543,-1065,0.922,504.8,206.5,5267,1147,1.073,210.7,107.5
q: アイムジャグラーEX-TP,1126,7667,-300,0.987,319.5,144.7,1313,-621,0.842,328.2,187.6,6354,321,1.017,317.7,138.1
q: アイムジャグラーEX-TP,1127,2015,-500,0.917,503.8,201.5,1718,-209,0.959,572.7,190.9,297,-291,0.673,297.0,297.0
q: アイムジャグラーEX-TP,1128,6032,276,1.015,502.7,154.7,3684,544,1.049,736.8,160.2,2348,-268,0.962,335.4,146.8
q: アイムジャグラーEX-TP,1129,7944,-1780,0.925,441.3,176.5,4690,-774,0.945,469.0,173.7,3254,-1006,0.897,406.8,180.8
r: アイムジャグラーEX-TP,1130,10369,85,1.003,384.0,157.1,5825,982,1.056,364.1,138.7,4544,-897,0.934,413.1,189.3
r: アイムジャグラーEX-TP,1131,5479,2679,1.163,260.9,105.4,4535,3282,1.241,251.9,94.5,944,-603,0.787,314.7,236.0
r: アイムジャグラーEX-TP,1132,4730,-312,0.978,473.0,175.2,2704,-109,0.987,386.3,159.1,2026,-203,0.967,675.3,202.6
r: アイムジャグラーEX-TP,1133,4462,-1405,0.895,637.4,212.5,2330,-979,0.86,,291.2,2132,-426,0.933,304.6,164.0
r: アイムジャグラーEX-TP,1134,5895,-1162,0.934,368.4,173.4,3053,-1818,0.802,305.3,218.1,2842,656,1.077,473.7,142.1
r: アイムジャグラーEX-TP,1135,3667,-483,0.956,458.4,174.6,2691,91,1.011,384.4,149.5,976,-574,0.804,976.0,325.3
r: アイムジャグラーEX-TP,1136,8600,-365,0.986,307.1,153.6,2465,-1241,0.832,352.1,224.1,6135,876,1.048,292.1,136.3
s: ハッピージャグラーVIII,1137,5352,-867,0.946,356.8,178.4,4239,174,1.014,385.4,163.0,1113,-1041,0.688,278.2,278.2
s: ハッピージャグラーVIII,1138,5119,-282,0.982,341.3,146.3,3610,-385,0.964,451.2,164.1,1509,103,1.023,215.6,116.1
s: ハッピージャグラーVIII,1139,2074,-370,0.941,414.8,172.8,1087,-85,0.974,543.5,181.2,987,-285,0.904,329.0,164.5
s: ハッピージャグラーVIII,1140,11707,223,1.006,260.2,141.0,5978,1229,1.069,284.7,130.0,5729,-1006,0.941,238.7,154.8
s: ハッピージャグラーVIII,1141,3553,-547,0.949,444.1,169.2,1002,-662,0.78,501.0,250.5,2551,115,1.015,425.2,150.1
s: ハッピージャグラーVIII,1142,1518,-918,0.798,1518.0,379.5,1104,-603,0.818,1104.0,368.0,414,-315,0.746,,414.0
s: ハッピージャグラーVIII,1143,10905,-365,0.989,340.8,155.8,5207,-1453,0.907,400.5,192.9,5698,1088,1.064,299.9,132.5
t: ジャグラーガールズ,1145,4607,-862,0.938,383.9,170.6,2084,109,1.017,416.8,148.9,2523,-971,0.872,360.4,194.1
t: ジャグラーガールズ,1146,7643,691,1.03,263.6,129.5,7315,982,1.045,261.2,126.1,328,-291,0.704,328.0,328.0
t: ジャグラーガールズ,1147,7082,-386,0.982,252.9,141.6,1152,-321,0.907,384.0,192.0,5930,-65,0.996,237.2,134.8
t: ジャグラーガールズ,1148,6637,997,1.05,368.7,135.4,803,-879,0.635,803.0,803.0,5834,1876,1.107,343.2,121.5
t: ジャグラーガールズ,1149,5315,582,1.037,759.3,151.9,4270,632,1.049,610.0,147.2,1045,-50,0.984,,174.2
t: ジャグラーガールズ,1150,2527,-1985,0.738,631.8,361.0,1134,-1029,0.698,1134.0,567.0,1393,-956,0.771,464.3,278.6
u: アイムジャグラーEX-TP,1151,8854,1659,1.062,442.7,145.1,3727,1194,1.107,931.8,149.1,5127,465,1.03,320.4,142.4
u: アイムジャグラーEX-TP,1152,4930,-871,0.941,547.8,182.6,3293,-562,0.943,823.2,193.7,1637,-309,0.937,327.4,163.7
u: アイムジャグラーEX-TP,1153,6105,603,1.033,321.3,142.0,2903,1159,1.133,414.7,132.0,3202,-556,0.942,266.8,152.5
u: アイムジャグラーEX-TP,1154,7626,614,1.027,448.6,155.6,4261,582,1.046,387.4,146.9,3365,32,1.003,560.8,168.2
u: アイムジャグラーEX-TP,1155,12103,-1073,0.97,336.2,159.2,5151,121,1.008,303.0,139.2,6952,-1194,0.943,365.9,178.3
total,,1149911,-55650,0.984,372.6,157.0,612598,-50375,0.973,398.6,162.8,537313,-5275,0.997,346.9,150.9
