,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i: ゴーゴージャグラー3,828,4945,-1081,0.927,449.5,190.2,1393.0,459.0,1.11,348.2,126.6,282.0,-92.0,0.891,,282.0,391.0,-436.0,0.628,,,1239.0,-634.0,0.829,309.8,206.5,1640.0,-378.0,0.923,546.7,205.0
i: ゴーゴージャグラー3,829,10232,454,1.015,365.4,144.1,319.0,-215.0,0.775,,319.0,957.0,262.0,1.091,478.5,136.7,2096.0,227.0,1.036,419.2,139.7,952.0,-878.0,0.693,476.0,476.0,5908.0,1058.0,1.06,310.9,128.4
i: ゴーゴージャグラー3,830,4719,-1959,0.862,524.3,214.5,525.0,-122.0,0.923,,262.5,524.0,-262.0,0.833,,262.0,894.0,-517.0,0.807,447.0,223.5,2080.0,-855.0,0.863,416.0,208.0,696.0,-203.0,0.903,348.0,174.0
i: ゴーゴージャグラー3,831,7316,-1325,0.94,430.4,170.1,366.0,-180.0,0.836,366.0,183.0,1431.0,180.0,1.042,477.0,143.1,925.0,-17.0,0.994,925.0,185.0,357.0,-413.0,0.614,,,4237.0,-895.0,0.93,353.1,163.0
i: ゴーゴージャグラー3,832,9623,815,1.028,291.6,131.8,447.0,-122.0,0.909,447.0,223.5,353.0,-52.0,0.951,,176.5,2625.0,41.0,1.005,238.6,131.2,4116.0,1221.0,1.099,316.6,117.6,2082.0,-273.0,0.956,260.2,148.7
i: ゴーゴージャグラー3,833,3305,-1483,0.85,472.1,206.6,460.0,-378.0,0.726,460.0,230.0,82.0,-99.0,0.598,,,347.0,-378.0,0.637,,,496.0,-134.0,0.91,,248.0,1920.0,-494.0,0.914,320.0,160.0
i: ゴーゴージャグラー3,834,7653,-1447,0.937,347.9,156.2,150.0,-262.0,0.418,,,906.0,-273.0,0.9,226.5,151.0,1390.0,-366.0,0.912,347.5,154.4,4281.0,-215.0,0.983,329.3,142.7,926.0,-331.0,0.881,926.0,231.5
i: ゴーゴージャグラー3,835,8410,-1821,0.928,350.4,168.2,3282.0,448.0,1.046,328.2,142.7,397.0,-413.0,0.653,397.0,397.0,742.0,-669.0,0.699,371.0,247.3,564.0,-297.0,0.824,564.0,282.0,3425.0,-890.0,0.913,342.5,163.1
i: ゴーゴージャグラー3,836,11576,640,1.018,289.4,136.2,1113.0,-378.0,0.887,222.6,159.0,2234.0,-52.0,0.992,279.2,139.6,495.0,-227.0,0.847,495.0,247.5,5545.0,849.0,1.051,252.0,123.2,2189.0,448.0,1.068,547.2,145.9
i: ゴーゴージャグラー3,837,4379,-1978,0.849,312.8,199.0,299.0,-273.0,0.696,299.0,299.0,88.0,-134.0,0.492,,,1553.0,-76.0,0.984,258.8,141.2,2119.0,-1105.0,0.826,302.7,211.9,320.0,-390.0,0.594,,
i: ゴーゴージャグラー3,838,11251,2399,1.071,450.0,138.9,1194.0,436.0,1.122,238.8,108.5,264.0,-72.0,0.909,,264.0,1650.0,436.0,1.088,825.0,150.0,5301.0,-52.0,0.997,441.8,155.9,2842.0,1651.0,1.194,473.7,118.4
i: ゴーゴージャグラー3,839,5021,-366,0.976,557.9,173.1,447.0,-76.0,0.943,,223.5,504.0,-436.0,0.712,252.0,252.0,847.0,413.0,1.163,423.5,121.0,1458.0,-238.0,0.946,729.0,182.2,1765.0,-29.0,0.995,588.3,176.5
i: ゴーゴージャグラー3,840,9538,-692,0.976,397.4,159.0,657.0,-76.0,0.961,328.5,164.2,1890.0,424.0,1.075,315.0,118.1,1937.0,-901.0,0.845,484.2,242.1,4044.0,-366.0,0.97,577.7,175.8,1010.0,227.0,1.075,202.0,112.2
i: ゴーゴージャグラー3,841,4746,-1547,0.891,1186.5,249.8,273.0,-122.0,0.851,,273.0,315.0,-448.0,0.526,,,464.0,-320.0,0.77,,464.0,1620.0,-1035.0,0.787,810.0,324.0,2074.0,378.0,1.061,1037.0,172.8
i: ゴーゴージャグラー3,842,5355,-755,0.953,535.5,184.7,592.0,-738.0,0.584,,,259.0,-273.0,0.649,,,827.0,366.0,1.148,827.0,137.8,3073.0,291.0,1.032,384.1,146.3,604.0,-401.0,0.779,604.0,302.0
