,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-03-02 00:00:00,2025-03-02 00:00:00,2025-03-02 00:00:00,2025-03-02 00:00:00,2025-03-02 00:00:00,2025-02-02 00:00:00,2025-02-02 00:00:00,2025-02-02 00:00:00,2025-02-02 00:00:00,2025-02-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2024-12-02 00:00:00,2024-12-02 00:00:00,2024-12-02 00:00:00,2024-12-02 00:00:00,2024-12-02 00:00:00,2024-11-02 00:00:00,2024-11-02 00:00:00,2024-11-02 00:00:00,2024-11-02 00:00:00,2024-11-02 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f: マイジャグラーV,1045,36230,-1313,0.988,441.8,164.7,4668,97,1.007,333.4,145.9,6090,1488,1.081,507.5,148.5,2395,-1547,0.785,399.2,266.1,6943,-571,0.973,534.1,173.6,3968,-744,0.938,496.0,189.0,7081,735,1.035,416.5,150.7,5085,-771,0.949,423.8,169.5
f: マイジャグラーV,1046,31940,-468,0.995,329.3,151.4,572,-179,0.896,,286.0,4609,253,1.018,288.1,135.6,6199,644,1.035,295.2,134.8,5234,206,1.013,348.9,149.5,2574,-1018,0.868,429.0,214.5,3631,-956,0.912,605.2,226.9,9121,582,1.021,276.4,138.2
f: マイジャグラーV,1047,30851,-1223,0.987,400.7,160.7,5102,868,1.057,463.8,137.9,3191,-274,0.971,354.6,167.9,3984,-550,0.954,569.1,189.7,5998,-285,0.984,428.4,166.6,4249,-132,0.99,424.9,163.4,3165,-1135,0.88,351.7,197.8,5162,285,1.018,303.6,139.5
f: マイジャグラーV,1048,15452,-3717,0.92,468.2,186.2,1138,-109,0.968,379.3,162.6,1955,-1029,0.825,488.8,244.4,4447,679,1.051,444.7,143.5,1834,-994,0.819,917.0,305.7,1825,-603,0.89,365.0,165.9,892,-326,0.878,446.0,223.0,3361,-1335,0.868,480.1,210.1
f: マイジャグラーV,1049,23668,-1772,0.975,422.6,163.2,3267,-585,0.94,326.7,163.4,2197,115,1.017,732.3,156.9,5318,626,1.039,332.4,136.4,1738,-879,0.831,869.0,289.7,2386,-676,0.906,795.3,238.6,6637,312,1.016,349.3,144.3,2125,-685,0.893,708.3,212.5
f: マイジャグラーV,1050,32133,1941,1.02,373.6,148.8,2653,-538,0.932,530.6,204.1,6571,-15,0.999,365.1,149.3,7033,2532,1.12,260.5,117.2,4097,-1429,0.884,585.3,215.6,2244,-1253,0.814,280.5,204.0,1372,-1135,0.724,1372.0,457.3,8163,3779,1.154,408.2,123.7
g: ファンキージャグラー2,1051,28623,1809,1.021,371.7,143.8,2755,-132,0.984,459.2,153.1,7130,2497,1.117,274.2,111.4,4480,-1147,0.915,448.0,194.8,5342,1441,1.09,381.6,127.2,3385,356,1.035,376.1,147.2,2899,-497,0.943,579.8,207.1,2632,-709,0.91,376.0,175.5
g: ファンキージャグラー2,1052,24413,531,1.007,420.9,152.6,1465,-426,0.903,244.2,162.8,3311,-335,0.966,413.9,165.6,6557,547,1.028,345.1,142.5,1831,38,1.007,457.8,152.6,2110,-579,0.909,263.8,150.7,4919,912,1.062,614.9,149.1,4220,374,1.03,844.0,162.3
g: ファンキージャグラー2,1053,22110,-866,0.987,381.2,160.2,3773,-674,0.94,343.0,171.5,1248,-603,0.839,208.0,178.3,3970,-1418,0.881,496.2,220.6,3008,-556,0.938,429.7,188.0,3489,-391,0.963,498.4,174.4,964,-109,0.962,964.0,192.8,5658,2885,1.17,314.3,113.2
g: ファンキージャグラー2,1054,19734,-2220,0.963,493.4,176.2,2363,912,1.129,1181.5,139.0,2840,-332,0.961,355.0,157.8,3668,-609,0.945,524.0,193.1,1808,-826,0.848,904.0,258.3,4503,-50,0.996,375.2,155.3,1718,-497,0.904,1718.0,245.4,2834,-818,0.904,354.2,188.9
g: ファンキージャグラー2,1055,21109,-5461,0.914,413.9,190.2,2861,-1065,0.876,357.6,204.4,3083,-803,0.913,513.8,205.5,3665,-585,0.947,366.5,174.5,3384,-1076,0.894,376.0,188.0,2252,-615,0.909,321.7,173.2,1402,-1088,0.741,1402.0,467.3,4462,-229,0.983,446.2,165.3
h: ファンキージャグラー2,1056,28308,-4535,0.947,428.9,174.7,3030,-1194,0.869,378.8,216.4,4318,-774,0.94,1439.3,215.9,3491,-1159,0.889,581.8,205.4,4917,-1841,0.875,351.2,189.1,3201,-1335,0.861,320.1,188.3,5166,1465,1.095,397.4,132.5,4185,303,1.024,348.8,144.3
h: ファンキージャグラー2,1057,25386,-4204,0.945,321.3,164.8,2673,-1476,0.816,445.5,267.3,1521,-274,0.94,1521.0,217.3,6461,-1897,0.902,239.3,161.5,2072,-418,0.933,345.3,172.7,3590,185,1.017,512.9,156.1,675,-450,0.778,675.0,337.5,8394,126,1.005,270.8,139.9
h: ファンキージャグラー2,1058,21046,-3096,0.951,389.7,167.0,1648,-1382,0.72,1648.0,549.3,2254,150,1.022,250.4,132.6,2551,-982,0.872,850.3,255.1,1702,-1112,0.782,851.0,283.7,6772,1288,1.063,322.5,127.8,3401,-726,0.929,340.1,170.0,2718,-332,0.959,339.8,159.9
h: ファンキージャグラー2,1059,22706,-704,0.99,324.4,148.4,881,-362,0.863,881.0,293.7,3429,632,1.061,263.8,122.5,2603,-500,0.936,520.6,185.9,4686,532,1.038,234.3,123.3,5069,238,1.016,422.4,153.6,4472,-382,0.972,248.4,139.8,1566,-862,0.817,1566.0,313.2
h: ファンキージャグラー2,1060,33581,-204,0.998,479.7,163.0,5533,676,1.041,425.6,145.6,5369,194,1.012,413.0,153.4,5143,-924,0.94,342.9,177.3,2292,-579,0.916,2292.0,254.7,5158,-603,0.961,573.1,171.9,3020,156,1.017,604.0,158.9,7066,876,1.041,504.7,153.6
i: ファンキージャグラー2,1061,29733,-1832,0.979,371.7,156.5,2591,-603,0.922,518.2,199.3,2476,-485,0.935,825.3,190.5,3826,-1041,0.909,478.2,201.4,4321,-344,0.973,392.8,160.0,3412,109,1.011,379.1,155.1,7272,535,1.025,269.3,129.9,5835,-3,1.0,343.2,145.9
i: ファンキージャグラー2,1062,18353,-1800,0.967,407.8,163.9,1034,-726,0.766,517.0,258.5,4035,-226,0.981,237.4,144.1,3615,-415,0.962,723.0,180.8,810,-891,0.633,810.0,810.0,2639,-450,0.943,377.0,164.9,4045,1029,1.085,404.5,130.5,2175,-121,0.981,725.0,181.2
i: ファンキージャグラー2,1063,23132,-364,0.995,316.9,145.5,3715,609,1.055,265.4,123.8,4724,456,1.032,295.2,135.0,1503,-826,0.817,375.8,250.5,5709,1724,1.101,317.2,124.1,3082,-488,0.947,237.1,140.1,1023,-621,0.798,341.0,255.8,3376,-1218,0.88,675.2,211.0
i: ファンキージャグラー2,1064,29692,2668,1.03,319.3,137.5,2511,-574,0.924,313.9,156.9,1694,56,1.011,423.5,141.2,7039,1688,1.08,293.3,123.5,1225,-650,0.823,612.5,306.2,4239,312,1.025,423.9,146.2,6405,1465,1.076,291.1,125.6,6579,371,1.019,286.0,140.0
j: ファンキージャグラー2,1065,31980,5276,1.055,316.6,131.6,1124,-915,0.729,374.7,281.0,5819,1685,1.097,342.3,129.3,6190,2976,1.16,364.1,114.6,1570,-391,0.917,523.3,224.3,6418,1456,1.076,305.6,125.8,7085,1350,1.064,244.3,120.1,3774,-885,0.922,343.1,164.1
