model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴーゴージャグラー3,1013,304.7,225.4,268.9,241.1,260.1,296.8,233.6,291.2,659.0,275.8,499.2,239.3,385.5,430.5,275.4,411.0,344.0,328.6,305.8,288.9,481.7,338.0,245.7,412.3,206.3,268.2,,317.0,324.6,515.9,330.0,306.0,318.2,308.5,349.8,,279.6,349.4,480.2,608.3,396.5,303.3,340.7,175.5,362.0,,,,,,,,,,,,,
ゴーゴージャグラー3,1014,295.4,379.2,331.1,190.3,427.0,283.2,529.0,,344.5,260.6,253.5,240.9,710.5,346.5,339.2,437.5,,269.0,390.0,316.8,,391.4,276.7,263.2,473.5,582.3,190.8,270.5,387.3,770.0,299.8,219.7,332.0,464.4,280.7,289.8,424.0,327.4,513.0,371.9,351.0,254.8,309.9,328.5,648.0,,,,,,,,,,,,,
ゴーゴージャグラー3,1015,293.0,249.4,770.0,208.7,371.7,734.0,296.8,270.4,254.0,287.1,532.2,270.7,295.7,274.7,298.1,305.6,229.0,275.8,354.1,796.0,328.5,406.8,396.3,441.6,309.8,697.0,310.3,255.4,227.4,295.2,,321.4,201.2,,303.7,256.5,555.0,429.8,286.3,315.3,755.0,512.1,232.4,299.1,232.0,,,,,,,,,,,,,
ゴーゴージャグラー3,1016,306.3,352.2,495.1,506.2,360.3,474.9,,333.9,279.8,330.0,293.8,351.2,368.4,357.3,501.0,322.3,242.9,241.1,278.4,267.0,232.7,1036.0,352.9,233.2,398.3,280.5,,347.1,315.6,420.5,341.8,614.8,245.8,234.4,286.9,353.2,356.0,284.3,432.0,273.5,326.2,365.5,339.2,268.9,258.9,,,,,,,,,,,,,
ゴーゴージャグラー3,1017,309.1,1274.0,263.4,304.4,303.2,484.2,,279.1,486.0,324.0,302.2,382.8,225.1,293.0,271.9,371.4,446.2,348.6,655.5,559.0,463.7,213.5,426.2,330.6,365.1,245.2,405.2,240.8,347.7,401.8,688.3,543.6,189.2,762.5,189.4,654.0,639.0,242.2,270.2,283.4,515.0,351.1,263.1,306.0,293.2,,,,,,,,,,,,,
ゴーゴージャグラー3,1018,308.7,355.0,745.0,329.6,376.0,375.6,176.7,271.4,1292.0,304.8,724.0,438.7,,228.5,341.0,225.2,1255.0,270.4,323.8,266.0,313.8,644.0,278.8,293.5,542.3,321.0,272.1,316.4,407.0,,534.6,383.2,254.2,262.9,361.8,329.4,478.7,283.1,381.6,279.6,258.1,228.1,463.2,383.0,271.6,,,,,,,,,,,,,
ゴーゴージャグラー3,1019,298.0,600.0,198.3,282.2,478.5,288.7,266.5,227.1,374.0,236.2,405.5,917.0,479.0,295.1,980.0,505.5,882.5,283.8,497.0,243.2,,474.8,287.0,237.2,256.9,285.9,,413.1,457.0,300.1,,418.1,261.9,496.5,270.2,305.3,436.8,302.6,269.8,238.7,282.4,344.3,188.2,434.8,279.1,,,,,,,,,,,,,
ゴーゴージャグラー3,1020,307.5,239.4,447.8,849.2,264.3,385.8,452.0,229.5,1442.0,255.5,586.8,309.2,561.0,375.0,397.3,362.4,233.8,307.3,318.3,577.0,245.5,243.7,255.3,341.8,414.0,330.6,303.0,418.2,281.1,340.1,191.4,451.7,458.7,302.2,386.8,535.5,330.6,226.2,349.8,424.2,316.9,410.4,289.4,261.2,513.0,,,,,,,,,,,,,
ジャグラーガールズ,1145,345.0,387.7,1264.5,509.9,290.7,307.2,301.4,1415.0,257.5,622.0,309.0,319.9,310.7,483.3,253.3,522.5,283.0,421.4,353.6,516.0,403.0,358.6,276.7,367.5,341.0,416.8,403.0,296.6,320.6,453.0,1402.0,349.5,307.1,322.1,301.8,365.2,627.3,256.9,490.4,523.0,330.4,316.5,423.4,259.5,410.2,375.2,292.7,279.8,263.0,435.2,413.3,307.7,394.5,246.9,241.8,360.4,619.0,373.5
ジャグラーガールズ,1146,369.2,422.8,1350.0,429.2,456.3,,302.6,286.6,,333.0,295.8,974.0,250.0,381.3,347.5,657.2,326.0,377.3,769.3,402.0,316.8,239.0,285.2,301.9,309.0,261.2,233.0,1044.3,307.0,2029.0,1204.0,394.1,299.7,883.0,440.5,437.0,,267.9,330.4,561.5,514.0,399.3,388.9,380.5,352.8,654.0,308.0,416.1,595.7,632.0,247.3,269.6,346.2,342.1,606.4,328.0,529.0,484.6
ジャグラーガールズ,1147,337.6,457.0,269.4,351.3,207.0,470.4,590.0,332.5,,314.5,607.8,1752.0,553.0,221.4,2038.0,1112.0,245.0,899.5,561.0,313.3,386.5,498.0,300.1,243.6,,384.0,335.3,288.2,,466.5,622.3,249.3,315.6,272.9,377.6,551.0,217.4,365.3,529.8,689.0,486.8,257.0,,428.1,,754.0,453.3,591.7,993.5,235.9,430.0,247.4,285.3,317.5,686.5,237.2,349.5,324.5
