,hall_name,date,model_name,unit_no,game,BB,RB,medals,BB_rate,RB_rate,Grape_rate,Total_rate,month,day,weekday,year,unit_last,area,5more
18,楽園大山店,2025-06-30,マイジャグラーV,2658,8155,36,25,1477,226.5,326.2,5.87,133.7,2025-06,30,0,2025,8,c: MJV,0.32999999999999996
19,楽園大山店,2025-06-30,マイジャグラーV,2660,5414,20,14,143,270.7,386.7,5.61,159.2,2025-06,30,0,2025,0,c: MJV,0.12000000000000001
20,楽園大山店,2025-06-30,マイジャグラーV,2661,7974,34,30,1905,234.5,265.8,5.75,124.6,2025-06,30,0,2025,1,c: MJV,0.73
21,楽園大山店,2025-06-30,マイジャグラーV,2662,6500,24,20,-48,270.8,325.0,5.94,147.7,2025-06,30,0,2025,2,c: MJV,0.16
22,楽園大山店,2025-06-30,マイジャグラーV,2663,4018,14,6,-523,287.0,669.7,5.62,200.9,2025-06,30,0,2025,3,c: MJV,0.0
23,楽園大山店,2025-06-30,マイジャグラーV,2665,6244,22,20,238,283.8,312.2,5.63,148.7,2025-06,30,0,2025,5,c: MJV,0.31
24,楽園大山店,2025-06-30,マイジャグラーV,2666,4640,17,14,-95,272.9,331.4,5.94,149.7,2025-06,30,0,2025,6,c: MJV,0.0
25,楽園大山店,2025-06-30,マイジャグラーV,2667,6796,27,25,953,251.7,271.8,5.84,130.7,2025-06,30,0,2025,7,c: MJV,0.57
26,楽園大山店,2025-06-30,マイジャグラーV,2668,7988,27,28,-95,295.9,285.3,5.81,145.2,2025-06,30,0,2025,8,c: MJV,0.35
27,楽園大山店,2025-06-30,ファンキージャグラー2,2670,4555,15,11,-476,303.7,414.1,5.69,175.2,2025-06,30,0,2025,0,f: FJ2,0.0
28,楽園大山店,2025-06-30,ファンキージャグラー2,2671,6613,23,18,-285,287.5,367.4,5.74,161.3,2025-06,30,0,2025,1,f: FJ2,0.15
29,楽園大山店,2025-06-30,ファンキージャグラー2,2672,4132,14,11,-476,295.1,375.6,5.93,165.3,2025-06,30,0,2025,2,f: FJ2,0.0
30,楽園大山店,2025-06-30,ファンキージャグラー2,2673,6426,27,20,953,238.0,321.3,5.82,136.7,2025-06,30,0,2025,3,f: FJ2,0.35000000000000003
31,楽園大山店,2025-06-30,ファンキージャグラー2,2675,5505,20,10,-857,275.2,550.5,6.01,183.5,2025-06,30,0,2025,5,f: FJ2,0.01
32,楽園大山店,2025-06-30,ファンキージャグラー2,2676,5986,24,13,143,249.4,460.5,5.77,161.8,2025-06,30,0,2025,6,f: FJ2,0.05
33,楽園大山店,2025-06-30,ファンキージャグラー2,2677,5588,20,19,238,279.4,294.1,5.75,143.3,2025-06,30,0,2025,7,f: FJ2,0.45
34,楽園大山店,2025-06-30,ファンキージャグラー2,2678,7477,35,15,1000,213.6,498.5,5.92,149.5,2025-06,30,0,2025,8,f: FJ2,0.02
35,楽園大山店,2025-06-30,ファンキージャグラー2,2680,4735,27,11,1715,175.4,430.5,6.13,124.6,2025-06,30,0,2025,0,f: FJ2,0.0
