,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,1086,34330,6096,151,114,1.059,301.1,129.5,3143.0,29.0,12.0,13.0,1.003,241.8,125.7,7854.0,-371.0,28.0,27.0,0.984,290.9,142.8,6128.0,-53.0,24.0,16.0,0.997,383.0,153.2,5146.0,285.0,22.0,14.0,1.018,367.6,142.9,4060.0,-197.0,16.0,9.0,0.984,451.1,162.4,7999.0,6403.0,49.0,35.0,1.267,228.5,95.2
その他,1087,39186,-570,139,133,0.995,294.6,144.1,7524.0,-2003.0,20.0,30.0,0.911,250.8,150.5,6440.0,-982.0,20.0,22.0,0.949,292.7,153.3,5828.0,465.0,25.0,14.0,1.027,416.3,149.4,4290.0,-1879.0,8.0,12.0,0.854,357.5,214.5,7557.0,1985.0,33.0,31.0,1.088,243.8,118.1,7547.0,1844.0,33.0,24.0,1.081,314.5,132.4
その他,1088,34639,-1304,132,80,0.987,433.0,163.4,6385.0,-171.0,25.0,15.0,0.991,425.7,159.6,7651.0,-818.0,28.0,17.0,0.964,450.1,170.0,8188.0,1088.0,35.0,24.0,1.044,341.2,138.8,6265.0,641.0,27.0,13.0,1.034,481.9,156.6,2809.0,-991.0,9.0,2.0,0.882,1404.5,255.4,3341.0,-1053.0,8.0,9.0,0.895,371.2,196.5
その他,1100,31572,-1271,121,65,0.987,485.7,169.7,3668.0,932.0,17.0,11.0,1.085,333.5,131.0,7933.0,232.0,35.0,12.0,1.01,661.1,168.8,4224.0,-1441.0,12.0,7.0,0.886,603.4,222.3,4949.0,-1159.0,15.0,8.0,0.922,618.6,215.2,5702.0,-444.0,21.0,10.0,0.974,570.2,183.9,5096.0,609.0,21.0,17.0,1.04,299.8,134.1
その他,1101,31523,-1788,116,79,0.981,399.0,161.7,6857.0,-1241.0,21.0,20.0,0.94,342.8,167.2,8606.0,2691.0,38.0,30.0,1.104,286.9,126.6,6088.0,-1244.0,22.0,8.0,0.932,761.0,202.9,2953.0,-1794.0,6.0,6.0,0.797,492.2,246.1,4302.0,-174.0,16.0,12.0,0.987,358.5,153.6,2717.0,-26.0,13.0,3.0,0.997,905.7,169.8
その他,1102,37135,5817,164,106,1.052,350.3,137.5,3427.0,-665.0,11.0,8.0,0.935,428.4,180.4,7996.0,1429.0,37.0,20.0,1.06,399.8,140.3,4478.0,1112.0,22.0,12.0,1.083,373.2,131.7,7237.0,759.0,32.0,20.0,1.035,361.8,139.2,6192.0,300.0,24.0,18.0,1.016,344.0,147.4,7805.0,2882.0,38.0,28.0,1.123,278.8,118.3
その他,1103,32834,-3133,111,104,0.968,315.7,152.7,5733.0,-809.0,18.0,21.0,0.953,273.0,147.0,8403.0,-147.0,27.0,34.0,0.994,247.1,137.8,2672.0,-1547.0,7.0,4.0,0.807,668.0,242.9,3676.0,-1441.0,8.0,8.0,0.869,459.5,229.8,6716.0,476.0,29.0,18.0,1.024,373.1,142.9,5634.0,335.0,22.0,19.0,1.02,296.5,137.4
その他,1105,31291,-2771,106,93,0.97,336.5,157.2,4376.0,-1124.0,11.0,14.0,0.914,312.6,175.0,6741.0,262.0,27.0,21.0,1.013,321.0,140.4,5176.0,-50.0,21.0,15.0,0.997,345.1,143.8,3506.0,-103.0,12.0,12.0,0.99,292.2,146.1,7294.0,-841.0,22.0,22.0,0.962,331.5,165.8,4198.0,-915.0,13.0,9.0,0.927,466.4,190.8
その他,1106,35695,8329,169,101,1.078,353.4,132.2,7184.0,3682.0,40.0,22.0,1.171,326.5,115.9,6598.0,3985.0,41.0,19.0,1.201,347.3,110.0,7376.0,1394.0,33.0,23.0,1.063,320.7,131.7,5704.0,-826.0,19.0,14.0,0.952,407.4,172.8,4457.0,-888.0,14.0,12.0,0.934,371.4,171.4,4376.0,982.0,22.0,11.0,1.075,397.8,132.6
その他,1107,33998,-3033,121,94,0.97,361.7,158.1,5287.0,-462.0,23.0,10.0,0.971,528.7,160.2,5573.0,1029.0,25.0,17.0,1.062,327.8,132.7,7677.0,-650.0,26.0,24.0,0.972,319.9,153.5,3975.0,-1665.0,8.0,12.0,0.86,331.2,198.8,6490.0,-1229.0,20.0,17.0,0.937,381.8,175.4,4996.0,-56.0,19.0,14.0,0.996,356.9,151.4
