,hall_name,date,model_name,unit_no,game,BB,RB,medals,BB_rate,RB_rate,Grape_rate,Total_rate,month,day,weekday,year,unit_last,area,5_more
26,EXA FIRST,2025-04-30,マイジャグラーV,1027,4564,18,11,-124,253.6,414.9,5.94,157.4,2025-04,30,2,2025,7,d: マイジャグラーV,0.0
27,EXA FIRST,2025-04-30,マイジャグラーV,1028,1157,3,2,-409,385.7,578.5,5.68,231.4,2025-04,30,2,2025,8,d: マイジャグラーV,0.0
28,EXA FIRST,2025-04-30,マイジャグラーV,1029,7899,34,22,1312,232.3,359.0,5.64,141.1,2025-04,30,2,2025,9,d: マイジャグラーV,0.24
29,EXA FIRST,2025-04-30,マイジャグラーV,1030,3956,20,14,1182,197.8,282.6,6.16,116.4,2025-04,30,2,2025,0,d: マイジャグラーV,0.0
30,EXA FIRST,2025-04-30,マイジャグラーV,1031,1269,3,2,-591,423.0,634.5,5.86,253.8,2025-04,30,2,2025,1,d: マイジャグラーV,0.0
31,EXA FIRST,2025-04-30,マイジャグラーV,1032,6437,25,18,-315,257.5,357.6,6.14,149.7,2025-04,30,2,2025,2,d: マイジャグラーV,0.06
32,EXA FIRST,2025-04-30,マイジャグラーV,1033,1779,6,0,-762,296.5,0.0,6.1,296.5,2025-04,30,2,2025,3,e: マイジャグラーV,0.0
33,EXA FIRST,2025-04-30,マイジャグラーV,1034,5312,15,11,-1347,354.1,482.9,5.63,204.3,2025-04,30,2,2025,4,e: マイジャグラーV,0.01
34,EXA FIRST,2025-04-30,マイジャグラーV,1035,625,2,0,-268,312.5,0.0,5.92,312.5,2025-04,30,2,2025,5,e: マイジャグラーV,0.0
35,EXA FIRST,2025-04-30,マイジャグラーV,1036,7412,34,33,2162,218.0,224.6,6.08,110.6,2025-04,30,2,2025,6,e: マイジャグラーV,0.87
36,EXA FIRST,2025-04-30,マイジャグラーV,1037,5584,15,25,-841,372.3,223.4,6.03,139.6,2025-04,30,2,2025,7,e: マイジャグラーV,0.5700000000000001
37,EXA FIRST,2025-04-30,マイジャグラーV,1038,1610,8,0,191,201.2,0.0,5.42,201.2,2025-04,30,2,2025,8,e: マイジャグラーV,0.0
38,EXA FIRST,2025-04-30,マイジャグラーV,1039,6151,24,11,-265,256.3,559.2,5.72,175.7,2025-04,30,2,2025,9,e: マイジャグラーV,0.01
39,EXA FIRST,2025-04-30,マイジャグラーV,1040,2161,5,4,-1065,432.2,540.2,6.04,240.1,2025-04,30,2,2025,0,e: マイジャグラーV,0.0
40,EXA FIRST,2025-04-30,マイジャグラーV,1041,6713,34,17,1844,197.4,394.9,5.85,131.6,2025-04,30,2,2025,1,e: マイジャグラーV,0.21
41,EXA FIRST,2025-04-30,マイジャグラーV,1042,2283,5,5,-921,456.6,456.6,5.67,228.3,2025-04,30,2,2025,2,f: マイジャグラーV,0.0
42,EXA FIRST,2025-04-30,マイジャグラーV,1043,6589,20,12,-1594,329.4,549.1,5.69,205.9,2025-04,30,2,2025,3,f: マイジャグラーV,0.0
43,EXA FIRST,2025-04-30,マイジャグラーV,1044,2769,10,8,68,276.9,346.1,5.59,153.8,2025-04,30,2,2025,4,f: マイジャグラーV,0.0
44,EXA FIRST,2025-04-30,マイジャグラーV,1045,1973,6,4,-374,328.8,493.2,5.57,197.3,2025-04,30,2,2025,5,f: マイジャグラーV,0.0
45,EXA FIRST,2025-04-30,マイジャグラーV,1046,3728,12,8,-591,310.7,466.0,5.66,186.4,2025-04,30,2,2025,6,f: マイジャグラーV,0.0
