,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,803,22693,0,86,62,1.0,366.0,153.3,4848,0,22,11,1.0,440.7,146.9,4341,0,20,14,1.0,310.1,127.7,3846,0,14,9,1.0,427.3,167.2,5351,0,20,13,1.0,411.6,162.2,4307,0,10,15,1.0,287.1,172.3
その他,804,5952,0,22,13,1.0,457.8,170.1,1242,0,3,3,1.0,414.0,207.0,3418,0,16,7,1.0,488.3,148.6,330,0,1,0,1.0,,330.0,588,0,0,3,1.0,196.0,196.0,374,0,2,0,1.0,,187.0
その他,805,15604,0,62,37,1.0,421.7,157.6,3137,0,9,5,1.0,627.4,224.1,1535,0,4,4,1.0,383.8,191.9,4559,0,21,8,1.0,569.9,157.2,3125,0,6,13,1.0,240.4,164.5,3248,0,22,7,1.0,464.0,112.0
その他,806,13472,0,62,39,1.0,345.4,133.4,724,0,1,2,1.0,362.0,241.3,2662,0,10,6,1.0,443.7,166.4,2325,0,13,12,1.0,193.8,93.0,4960,0,32,11,1.0,450.9,115.3,2801,0,6,8,1.0,350.1,200.1
その他,807,12180,0,40,26,1.0,468.5,184.5,2384,0,9,5,1.0,476.8,170.3,3111,0,8,8,1.0,388.9,194.4,2929,0,12,5,1.0,585.8,172.3,2701,0,8,8,1.0,337.6,168.8,1055,0,3,0,1.0,,351.7
その他,808,5261,0,13,11,1.0,478.3,219.2,1004,0,2,2,1.0,502.0,251.0,641,0,3,0,1.0,,213.7,637,0,1,2,1.0,318.5,212.3,1513,0,4,3,1.0,504.3,216.1,1466,0,3,4,1.0,366.5,209.4
その他,809,13808,0,46,43,1.0,321.1,155.1,1453,0,2,3,1.0,484.3,290.6,4912,0,17,18,1.0,272.9,140.3,1207,0,2,5,1.0,241.4,172.4,5372,0,22,17,1.0,316.0,137.7,864,0,3,0,1.0,,288.0
その他,810,11764,0,37,29,1.0,405.7,178.2,3207,0,8,12,1.0,267.2,160.4,2916,0,7,7,1.0,416.6,208.3,3260,0,18,5,1.0,652.0,141.7,957,0,2,2,1.0,478.5,239.2,1424,0,2,3,1.0,474.7,284.8
その他,811,6166,0,25,8,1.0,770.8,186.8,679,0,2,0,1.0,,339.5,1729,0,8,3,1.0,576.3,157.2,1406,0,6,2,1.0,703.0,175.8,1667,0,6,3,1.0,555.7,185.2,685,0,3,0,1.0,,228.3
その他,812,16104,0,74,46,1.0,350.1,134.2,5462,0,24,16,1.0,341.4,136.6,1930,0,7,5,1.0,386.0,160.8,1092,0,4,3,1.0,364.0,156.0,4947,0,26,17,1.0,291.0,115.0,2673,0,13,5,1.0,534.6,148.5
その他,813,9444,0,33,28,1.0,337.3,154.8,2016,0,8,6,1.0,336.0,144.0,1245,0,5,2,1.0,622.5,177.9,2653,0,11,10,1.0,265.3,126.3,3023,0,8,9,1.0,335.9,177.8,507,0,1,1,1.0,507.0,253.5
その他,814,9811,0,25,31,1.0,316.5,175.2,1281,0,1,3,1.0,427.0,320.2,1007,0,2,2,1.0,503.5,251.8,3531,0,11,13,1.0,271.6,147.1,2405,0,8,9,1.0,267.2,141.5,1587,0,3,4,1.0,396.8,226.7
その他,815,9843,0,41,28,1.0,351.5,142.7,922,0,2,2,1.0,461.0,230.5,3032,0,15,9,1.0,336.9,126.3,951,0,5,2,1.0,475.5,135.9,1775,0,5,6,1.0,295.8,161.4,3163,0,14,9,1.0,351.4,137.5
その他,816,11395,0,38,26,1.0,438.3,178.0,773,0,2,0,1.0,,386.5,3033,0,12,4,1.0,758.2,189.6,866,0,0,4,1.0,216.5,216.5,1641,0,3,2,1.0,820.5,328.2,5082,0,21,16,1.0,317.6,137.4
その他,817,12788,0,52,32,1.0,399.6,152.2,3225,0,15,5,1.0,645.0,161.2,4264,0,18,13,1.0,328.0,137.5,676,0,1,2,1.0,338.0,225.3,2024,0,6,6,1.0,337.3,168.7,2599,0,12,6,1.0,433.2,144.4
その他,818,5079,0,18,11,1.0,461.7,175.1,485,0,2,0,1.0,,242.5,647,0,2,2,1.0,323.5,161.8,2578,0,13,6,1.0,429.7,135.7,347,0,0,1,1.0,347.0,347.0,1022,0,1,2,1.0,511.0,340.7
その他,819,10624,0,29,31,1.0,342.7,177.1,4132,0,12,13,1.0,317.8,165.3,2532,0,9,7,1.0,361.7,158.2,1086,0,3,2,1.0,543.0,217.2,2358,0,5,9,1.0,262.0,168.4,516,0,0,0,1.0,,
その他,820,7482,0,20,17,1.0,440.1,202.2,1963,0,5,7,1.0,280.4,163.6,952,0,2,2,1.0,476.0,238.0,697,0,1,1,1.0,697.0,348.5,3058,0,9,7,1.0,436.9,191.1,812,0,3,0,1.0,,270.7
