,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d: マイジャグラーV,807,19007,-773,0.986,387.9,159.7,5676.0,-401.0,0.976,298.7,153.4,1828.0,-680.0,0.876,457.0,203.1,336.0,-413.0,0.59,,,1338.0,-169.0,0.958,334.5,167.2,5485.0,-331.0,0.98,457.1,171.4,4344.0,1221.0,1.094,434.4,131.6
d: マイジャグラーV,808,25834,-2406,0.969,403.7,165.6,3539.0,-1430.0,0.865,393.2,208.2,4333.0,343.0,1.026,333.3,144.4,3713.0,192.0,1.017,412.6,154.7,4828.0,-1523.0,0.895,965.6,219.5,6332.0,-773.0,0.959,333.3,166.6,3089.0,785.0,1.085,343.2,123.6
e: ファンキージャグラー2,819,11766,-483,0.986,452.5,161.2,1116.0,-424.0,0.873,558.0,223.2,2995.0,-273.0,0.97,599.0,176.2,3639.0,965.0,1.088,404.3,134.8,1518.0,-448.0,0.902,253.0,151.8,2089.0,-134.0,0.979,696.3,174.1,409.0,-169.0,0.862,409.0,204.5
e: ファンキージャグラー2,820,8877,12,1.0,634.1,174.1,2770.0,320.0,1.039,461.7,153.9,2824.0,87.0,1.01,564.8,176.5,439.0,-401.0,0.696,219.5,219.5,1196.0,215.0,1.06,1196.0,149.5,713.0,-343.0,0.84,,356.5,935.0,134.0,1.048,,187.0
e: ファンキージャグラー2,821,12440,1309,1.035,401.3,148.1,1098.0,250.0,1.076,549.0,156.9,3698.0,337.0,1.03,410.9,142.2,1833.0,-145.0,0.974,611.0,203.7,1563.0,390.0,1.083,312.6,142.1,4001.0,750.0,1.062,333.4,129.1,247.0,-273.0,0.632,,
e: ファンキージャグラー2,822,14331,227,1.005,462.3,162.9,1498.0,-773.0,0.828,749.0,374.5,2205.0,-250.0,0.962,735.0,183.8,1254.0,29.0,1.008,627.0,156.8,1447.0,-471.0,0.891,723.5,241.2,4824.0,1128.0,1.078,371.1,134.0,3103.0,564.0,1.061,344.8,141.0
e: ファンキージャグラー2,823,10071,-1890,0.937,387.3,170.7,1438.0,-1081.0,0.749,479.3,359.5,2743.0,-203.0,0.975,457.2,161.4,999.0,-262.0,0.913,333.0,166.5,3545.0,-355.0,0.967,354.5,154.1,899.0,-262.0,0.903,299.7,179.8,447.0,273.0,1.204,447.0,111.8
e: ファンキージャグラー2,824,7738,-767,0.967,595.2,175.9,1408.0,-134.0,0.968,469.3,176.0,788.0,-738.0,0.688,,788.0,2267.0,308.0,1.045,323.9,133.4,1111.0,-110.0,0.967,,222.2,1828.0,41.0,1.007,609.3,152.3,336.0,-134.0,0.867,,336.0
e: ファンキージャグラー2,825,10984,-1417,0.957,392.3,171.6,2070.0,-459.0,0.926,517.5,207.0,4852.0,0.0,1.0,323.5,147.0,894.0,-99.0,0.963,223.5,149.0,649.0,-157.0,0.919,,216.3,2247.0,-634.0,0.906,449.4,204.3,272.0,-68.0,0.917,,272.0
e: ファンキージャグラー2,826,15086,2377,1.053,377.2,139.7,949.0,-622.0,0.782,,474.5,5073.0,4988.0,1.328,422.8,97.6,878.0,-576.0,0.781,439.0,292.7,2301.0,-366.0,0.947,255.7,143.8,2823.0,-750.0,0.911,282.3,176.4,3062.0,-297.0,0.968,437.4,161.2
